"시도별",1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"시도별",생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤),생산량 (톤)
"계",619182,548961,614801,514053,648923,489393,592207,563470,644731,642525,631929,584353,637961,620292,777547,636413,727295,614871,644631,654031,655284,687516,639892,609832,597294,621154,-
"서울특별시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"부산광역시",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,4,0,-
"대구광역시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"인천광역시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"광주광역시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,99,-
"대전광역시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"울산광역시",-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-
"경기도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"강원도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,-
"충청북도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"충청남도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"전라북도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,83,0,-
"전라남도",44,184,137,0,12,0,101,110,67,0,0,281,847,0,33,217,220,0,117,275,267,192,135,0,1428,1289,-
"경상북도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"경상남도",32,91,12,0,0,0,19,19,0,54,0,20,0,0,124,166,174,136,84,0,0,0,0,0,0,5,-
"제주도",619106,548686,614652,514033,648911,489393,592087,563341,644664,642471,631929,584052,637114,620292,777390,636030,726901,614735,644430,653756,655001,687324,639673,609783,595660,619761,-
